created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-03-07 07:39:00 UTC,1,2.07756,matricule_1,,,,
2021-03-07 07:39:16 UTC,2,6.29195,matricule_1,,,,
2021-03-07 07:42:47 UTC,3,2.19484,1,,,,
2021-03-07 07:43:04 UTC,4,2.58579,5,,,,
2021-03-07 07:43:44 UTC,5,3.01993,6,,,,
2021-03-07 07:44:29 UTC,6,2.30610,9,,,,
2021-03-07 07:44:47 UTC,7,2.05290,13,,,,
2021-03-07 07:45:04 UTC,8,3.31932,20,,,,
2021-03-07 07:45:19 UTC,9,2.20759,26,,,,
2021-03-07 07:45:35 UTC,10,2.31169,30,,,,
2021-03-07 07:45:54 UTC,11,2.67881,37,,,,
2021-03-07 07:46:10 UTC,12,2.89115,43,,,,
